V_gen,V_med1,V_med2
0.0,37.0,27.0
0.002,25.0,19.0
0.005,22.0,23.0
0.007,19.0,18.0
0.01,18.0,18.0
0.012,19.0,17.0
0.015,20.0,21.0
0.017,14.0,16.0
0.02,15.0,13.0
0.022,13.0,16.0
0.024,19.0,18.0
0.027,18.0,18.0
0.029,17.0,19.0
0.032,19.0,17.0
0.034,21.0,20.0
0.037,20.0,17.0
0.039,19.0,18.0
0.042,19.0,22.0
0.044,16.0,22.0
0.046,21.0,23.0
0.049,25.0,27.0
0.051,31.0,30.0
0.054,31.0,32.0
0.056,35.0,33.0
0.059,32.0,35.0
0.061,32.0,32.0
0.064,32.0,32.0
0.066,34.0,33.0
0.068,27.0,28.0
0.071,27.0,29.0
0.073,26.0,27.0
0.076,24.0,22.0
0.078,23.0,23.0
0.081,23.0,22.0
0.083,19.0,26.0
0.085,21.0,26.0
0.088,23.0,24.0
0.09,21.0,22.0
0.093,27.0,28.0
0.095,26.0,22.0
0.098,18.0,26.0
0.1,29.0,29.0
0.103,30.0,33.0
0.105,29.0,29.0
0.107,30.0,35.0
0.11,33.0,34.0
0.112,40.0,38.0
0.115,39.0,40.0
0.117,36.0,34.0
0.12,42.0,42.0
0.122,37.0,36.0
0.125,40.0,37.0
0.127,35.0,39.0
0.129,42.0,34.0
0.132,38.0,34.0
0.134,32.0,34.0
0.137,34.0,34.0
0.139,33.0,33.0
0.142,35.0,35.0
0.144,33.0,29.0
0.147,31.0,33.0
0.149,30.0,28.0
0.151,34.0,36.0
0.154,35.0,31.0
0.156,33.0,31.0
0.159,37.0,37.0
0.161,34.0,38.0
0.164,37.0,34.0
0.166,43.0,45.0
0.169,45.0,43.0
0.171,45.0,46.0
0.173,47.0,46.0
0.176,44.0,48.0
0.178,48.0,46.0
0.181,46.0,50.0
0.183,49.0,47.0
0.186,50.0,51.0
0.188,50.0,43.0
0.191,40.0,50.0
0.193,48.0,41.0
0.195,42.0,43.0
0.198,42.0,41.0
0.2,45.0,37.0
0.203,38.0,44.0
0.205,41.0,39.0
0.208,39.0,46.0
0.21,44.0,45.0
0.213,38.0,45.0.007
0.215,45.0,40.0
0.217,42.0,48.0
0.22,40.0,51.0
0.222,52.0,45.0
0.225,51.0,51.0
0.227,49.0,49.0
0.23,52.0,50.0
0.232,50.0,54.0
0.234,53.0,58.0
0.237,57.0,59.0
0.239,57.0,58.0
0.242,54.0,61.0
0.244,58.0,57.0
0.247,60.0,53.0
0.249,58.0,57.0
0.252,55.0,55.0
0.254,53.0,54.0
0.256,49.0,55.0
0.259,54.0,51.0
0.261,50.0,52.0
0.264,54.0,50.0
0.266,55.0,47.0
0.269,57.0,54.0
0.271,57.0,53.0
0.274,53.0,52.0
0.276,57.0,60.0
0.278,57.0,55.0
0.281,54.0,58.0
0.283,60.0,58.0
0.286,54.0,59.0
0.288,67.0,60.0
0.291,61.0,67.0
0.293,64.0,67.0
0.296,68.0,64.0
0.298,70.0,71.0
0.3,69.0,73.0
0.303,70.0,67.0
0.305,71.0,63.0
0.308,69.0,65.0
0.31,64.0,70.0
0.313,64.0,64.0
0.315,64.0,65.0
0.318,67.0,64.0
0.32,67.0,65.0
